driverType,driverVIN,driverMedallion,driverName,driverCabYear,driverCabMake,driverCabModel,driverDMVLicense,driverCompany,driverCompanyPhone
Y,,1000,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1001,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1002,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1003,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1004,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1005,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1006,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1007,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1008,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1009,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1010,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1011,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1012,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1013,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1014,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1015,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1016,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1017,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1018,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1019,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1020,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1021,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1022,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1023,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1024,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1025,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1026,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1027,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1028,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1029,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1030,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1031,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1032,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1033,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1034,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1035,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1036,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1037,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1038,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1039,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1040,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1041,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1042,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1043,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1044,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1045,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1046,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1047,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1048,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1049,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1050,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1051,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1052,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1053,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1054,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1055,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1056,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1057,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1058,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1059,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1060,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1061,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1062,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1063,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1064,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1065,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1066,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
Y,,1067,A-Cab Company,,Dark Green Skirting,White Body,,A-Cab Company,702-365-1900
